gene,importance,p_value,rank_by_importance,is_known,high_group_size,low_group_size,significant
MT1A,0.0,0.8137487359332554,8208,False,91,92,NO
MT1B,0.0,0.5328835084482254,8209,False,14,169,NO
ZNF185,0.0,0.003057149241861441,8210,False,91,92,YES
ZNF184,0.0,0.169641834809386,8211,False,91,92,NO
ZNF187,0.0,0.07598429929014583,8212,False,90,93,NO
ZNF181,0.0,0.032603712088678696,8214,False,91,92,YES
ZNF180,0.0,0.17095815639377182,8215,False,91,92,NO
ZNF182,0.0,0.01252063901088126,8216,False,91,92,YES
TRA2B,0.0,0.14902345301411987,8217,False,91,92,NO
SPI1,0.0,0.7456808833078084,8218,False,91,92,NO
ZNF189,0.0,0.4606598668349806,8219,False,91,92,NO
TTPAL,0.0,0.16885021765235939,8220,False,91,92,NO
TIFA,0.0,0.07827000474517666,8221,False,91,92,NO
TFCP2L1,0.0,0.2765803084012879,8222,False,91,92,NO
ZNF25,0.0,0.0634556803015722,8223,False,91,92,NO
ZNF24,0.0,0.29257529931308246,8224,False,91,92,NO
LYRM1,0.0,0.35229594818735854,8225,False,91,92,NO
INTS10,0.0,0.6093815386704375,8226,False,91,92,NO
ZNF20,0.0,0.5458703963026064,8227,False,91,92,NO
ZNF22,0.0,0.9930723271244023,8229,False,91,92,NO
BLVRB,0.0,0.4459870408056148,8230,False,91,92,NO
BLVRA,0.0,0.5641927900079239,8231,False,91,92,NO
OR52E8,0.0,,8232,False,0,183,NA
GLTPD2,0.0,0.44212436216401185,8233,False,91,92,NO
GLTPD1,0.0,0.16094073775618883,8234,False,91,92,NO
EPOR,0.0,0.019174009758992996,8235,False,91,92,YES
WBP2NL,0.0,0.25327672478355784,8236,False,91,92,NO
PION,0.0,0.04493679783061222,8237,False,91,92,YES
SEMA5A,0.0,0.08847912683796233,8238,False,91,92,NO
SH3TC2,0.0,0.12309877409173463,8239,False,91,92,NO
SH3TC1,0.0,0.3367964928022472,8240,False,91,92,NO
ERAS,0.0,0.27316488592327737,8241,False,91,92,NO
LYNX1,0.0,0.81115671701172,8242,False,91,92,NO
SNORA9,0.0,0.0609898990066807,8243,False,29,154,NO
BBS10,0.0,0.4302346910696677,8244,False,91,92,NO
TRIM77,0.0,,8245,False,0,183,NA
BBS12,0.0,0.7065129606679419,8246,False,91,92,NO
HS6ST1,0.0,0.16847268236880183,8247,False,91,92,NO
HS6ST2,0.0,0.7038924221081351,8248,False,91,92,NO
HS6ST3,0.0,0.1004149513839526,8249,False,91,92,NO
SNORA1,0.0,,8250,False,7,176,NA
RHOBTB2,0.0,0.5050668781099732,8251,False,91,92,NO
LUZP1,0.0,0.3448766619071685,8252,False,91,92,NO
OR1J4,0.0,0.060600215985772844,8253,False,48,135,NO
OR1J1,0.0,0.15886031033785414,8255,False,66,117,NO
SNORA6,0.0,0.9232207938384015,8256,False,43,140,NO
XKRY2,0.0,0.679594234667392,8257,False,11,172,NO
UBASH3B,0.0,0.0026134908509718407,8258,False,91,92,YES
LOC143666,0.0,0.4125386627939912,8259,False,91,92,NO
LOC440461,0.0,0.10599177827707842,8260,False,91,92,NO
MOAP1,0.0,0.08640351256911506,8261,False,91,92,NO
ZNF239,0.0,0.8234952051562576,8262,False,91,92,NO
DKFZp566F0947,0.0,0.08255301911070895,8263,False,91,92,NO
UBL4B,0.0,0.34146894120152177,8264,False,91,92,NO
ZNF236,0.0,0.6986085960933285,8265,False,91,92,NO
FLJ40330,0.0,0.015250821946454307,8266,False,91,92,YES
UBL4A,0.0,0.11990351537034653,8267,False,91,92,NO
TCERG1,0.0,0.1635623880188521,8268,False,91,92,NO
ZNF230,0.0,0.004818048811572765,8270,False,91,92,YES
CNBP,0.0,0.015110744947078805,8271,False,91,92,YES
RNPEP,0.0,0.13314922504322557,8272,False,91,92,NO
ZNF826,0.0,0.7840654340253735,8273,False,91,92,NO
SRRM5,0.0,0.056780132978511,8274,False,91,92,NO
RNF113B,0.0,0.3554311575764061,8276,False,46,137,NO
KRTAP25-1,0.0,,8277,False,0,183,NA
RNF113A,0.0,0.5937437548536083,8278,False,91,92,NO
INTS12,0.0,0.5491709109476552,8279,False,91,92,NO
INO80E,0.0,0.35818747769879167,8280,False,91,92,NO
SEMA4G,0.0,0.14403768226039168,8281,False,91,92,NO
ZDHHC23,0.0,0.9529435809884945,8282,False,91,92,NO
FAM75C1,0.0,0.7281276562083238,8283,False,91,92,NO
FAM35B,0.0,0.8873133553030805,8284,False,91,92,NO
CERCAM,0.0,0.7126397790576947,8285,False,91,92,NO
FAM35A,0.0,0.3770895942395055,8286,False,91,92,NO
ZNF827,0.0,0.8908965405342802,8287,False,91,92,NO
RANBP9,0.0,0.89620721180183,8288,False,91,92,NO
GABRG2,0.0,0.12385305175570353,8289,False,91,92,NO
NAE1,0.0,0.193720232259458,8290,False,91,92,NO
NCRNA00159,0.0,0.7609274893320229,8291,False,12,171,NO
RANBP1,0.0,0.06953563167818855,8292,False,91,92,NO
RANBP3,0.0,0.004012173891636909,8293,False,91,92,YES
RANBP2,0.0,0.9092203243416981,8294,False,91,92,NO
LYRM5,0.0,0.8646250330148058,8295,False,91,92,NO
